baseline_id,severe_shortfall_threshold,minimum_consecutive_days,recovery_days,training_start_date,training_end_date,training_days,background_episode_count,background_episodes_per_year,raw_threshold_days,raw_threshold_day_fraction,episode_active_days,episode_active_day_fraction,mean_episode_duration_days,median_episode_duration_days
doy_weekday_hw7,0.5,5,3,2019-01-01,2023-12-31,1826,1,0.20002327491785324,139,0.07612267250821468,5,0.002738225629791895,5.0,5.0
doy_weekday_hw7,0.5,5,5,2019-01-01,2023-12-31,1826,1,0.20002327491785324,139,0.07612267250821468,17,0.009309967141292442,17.0,17.0
doy_weekday_hw7,0.5,5,7,2019-01-01,2023-12-31,1826,1,0.20002327491785324,139,0.07612267250821468,34,0.018619934282584884,34.0,34.0
doy_weekday_hw7,0.7,2,3,2019-01-01,2023-12-31,1826,2,0.4000465498357065,34,0.018619934282584884,8,0.004381161007667032,4.0,4.0
doy_weekday_hw7,0.7,2,5,2019-01-01,2023-12-31,1826,2,0.4000465498357065,34,0.018619934282584884,8,0.004381161007667032,4.0,4.0
doy_weekday_hw7,0.7,2,7,2019-01-01,2023-12-31,1826,2,0.4000465498357065,34,0.018619934282584884,8,0.004381161007667032,4.0,4.0
doy_weekday_hw7,0.7,3,3,2019-01-01,2023-12-31,1826,1,0.20002327491785324,34,0.018619934282584884,3,0.0016429353778751369,3.0,3.0
doy_weekday_hw7,0.7,3,5,2019-01-01,2023-12-31,1826,1,0.20002327491785324,34,0.018619934282584884,3,0.0016429353778751369,3.0,3.0
doy_weekday_hw7,0.7,3,7,2019-01-01,2023-12-31,1826,1,0.20002327491785324,34,0.018619934282584884,3,0.0016429353778751369,3.0,3.0
doy_weekday_hw7,0.7,5,3,2019-01-01,2023-12-31,1826,0,0.0,34,0.018619934282584884,0,0.0,0.0,0.0
doy_weekday_hw7,0.7,5,5,2019-01-01,2023-12-31,1826,0,0.0,34,0.018619934282584884,0,0.0,0.0,0.0
doy_weekday_hw7,0.7,5,7,2019-01-01,2023-12-31,1826,0,0.0,34,0.018619934282584884,0,0.0,0.0,0.0
doy_weekday_hw7,0.9,2,3,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw7,0.9,2,5,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
doy_weekday_hw7,0.9,2,7,2019-01-01,2023-12-31,1826,0,0.0,2,0.001095290251916758,0,0.0,0.0,0.0
