baseline_id,severe_shortfall_threshold,minimum_consecutive_days,recovery_days,total_episode_count,test_episode_count,target_anchor_date,target_episode_detected,target_onset_date,target_end_date,target_onset_offset_days,target_duration_days,target_severe_days,target_maximum_shortfall_fraction,target_cumulative_capacity_loss
doy_weekday_hw7,0.9,3,3,2,2,2026-03-01,True,2026-03-01,2026-06-17,3,109,99,1.0,262149392.62939638
doy_weekday_hw7,0.9,3,5,2,2,2026-03-01,True,2026-03-01,2026-06-21,3,113,100,1.0,271508526.1352497
doy_weekday_hw7,0.9,3,7,1,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,162,1.0,460356848.22020805
doy_weekday_hw7,0.9,5,3,2,2,2026-03-01,True,2026-03-01,2026-06-17,3,109,99,1.0,262149392.62939638
doy_weekday_hw7,0.9,5,5,2,2,2026-03-01,True,2026-03-01,2026-06-21,3,113,100,1.0,271508526.1352497
doy_weekday_hw7,0.9,5,7,1,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,162,1.0,460356848.22020805
doy_weekday_hw15,0.2,2,3,87,2,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,463594502.87018174
doy_weekday_hw15,0.2,2,5,54,1,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,463594502.87018174
doy_weekday_hw15,0.2,2,7,39,1,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,463594502.87018174
doy_weekday_hw15,0.2,3,3,41,2,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.2,3,5,29,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.2,3,7,23,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.2,5,3,18,2,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.2,5,5,14,2,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.2,5,7,11,2,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.3,2,3,51,3,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,463594502.87018174
doy_weekday_hw15,0.3,2,5,36,1,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,463594502.87018174
doy_weekday_hw15,0.3,2,7,30,1,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,463594502.87018174
doy_weekday_hw15,0.3,3,3,29,2,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.3,3,5,18,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.3,3,7,16,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.3,5,3,14,2,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.3,5,5,11,2,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.3,5,7,10,2,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,461425513.83339787
doy_weekday_hw15,0.4,2,3,42,3,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,463594502.87018174
doy_weekday_hw15,0.4,2,5,31,3,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,463594502.87018174
doy_weekday_hw15,0.4,2,7,26,3,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,463594502.87018174
