document_id,relative_path,file_name,file_format,size_bytes,sha256,source,source_url,document_type,signal_family_id,update_number,evidence_relationship,is_primary_representation,is_analytic_signal,issue_date,publication_date,effective_date,retrieval_date,evidence_date,geographic_scope,target_episode_id,target_onset_date,days_from_target_onset,timing_phase,support_role,active_episode_id_on_evidence_date,next_episode_id_after_evidence,days_to_next_episode,clean_pre_onset_signal
bbd274aa6211059d,MARAD/E051_MARAD_2026-001A_effective-2026-02-28.pdf,E051_MARAD_2026-001A_effective-2026-02-28.pdf,pdf,280011,bbd274aa6211059d544e4f11601d5503d02a6a60e0ad05e26033343120567aab,MARAD,https://www.maritime.dot.gov/msci-alerts,maritime_alert,MARAD-2026-001A,0,new_signal_family,True,True,,,2026-02-28,,2026-02-28,"Strait of Hormuz, Persian/Arabian Gulf, Gulf of Oman and adjacent waters",51,2026-02-26,2,onset_corroboration,onset_corroboration,51,,,False
100c61e47afe8ee4,MARAD/E051_MARAD_Search_FullEpisode_2026-02-26_to_2026-09-06.pdf,E051_MARAD_Search_FullEpisode_2026-02-26_to_2026-09-06.pdf,pdf,266785,100c61e47afe8ee475838970c2ce6021057613659653c1419b3bc054d634ba2a,MARAD,https://www.maritime.dot.gov/msci-alerts,archive_capture,MARAD-ARCHIVE_CAPTURE-E051_MARAD_SEARCH_FULLEPISODE_2026-02-26_TO_2026-09-06,0,provenance_or_context,True,False,,,,,,"Strait of Hormuz, Persian/Arabian Gulf, Gulf of Oman and adjacent waters",51,2026-02-26,,archive_or_context,provenance_only,,,,False
82f82b140f5dd486,MARAD/E051_MARAD_Search_OnsetWindow_2026-02-12_to_2026-03-12.pdf,E051_MARAD_Search_OnsetWindow_2026-02-12_to_2026-03-12.pdf,pdf,267195,82f82b140f5dd486ee6125df1b754bb9393d5ae30fb0a7c24a252f8d27922cfb,MARAD,https://www.maritime.dot.gov/msci-alerts,archive_capture,MARAD-ARCHIVE_CAPTURE-E051_MARAD_SEARCH_ONSETWINDOW_2026-02-12_TO_2026-03-12,0,provenance_or_context,True,False,,,,,,"Strait of Hormuz, Persian/Arabian Gulf, Gulf of Oman and adjacent waters",51,2026-02-26,,archive_or_context,provenance_only,,,,False
85f97cd9d32d3e35,MARAD/E051_MARAD_Search_PreOnset_2026-01-27_to_2026-02-25.pdf,E051_MARAD_Search_PreOnset_2026-01-27_to_2026-02-25.pdf,pdf,252759,85f97cd9d32d3e3521843b3a308d260403d8d712741aa65a55322ed177532fe8,MARAD,https://www.maritime.dot.gov/msci-alerts,archive_capture,MARAD-ARCHIVE_CAPTURE-E051_MARAD_SEARCH_PREONSET_2026-01-27_TO_2026-02-25,0,provenance_or_context,True,False,,,,,,"Strait of Hormuz, Persian/Arabian Gulf, Gulf of Oman and adjacent waters",51,2026-02-26,,archive_or_context,provenance_only,,,,False
1359e85a49751781,UKMTO/Archive/E051_UKMTO_Advisories_2026_archive_January-0_February-3_March-1.pdf,E051_UKMTO_Advisories_2026_archive_January-0_February-3_March-1.pdf,pdf,113223,1359e85a49751781e2ff0c2153e3dcf690d56c4f37c95b0d6629581411885cb8,UKMTO,https://www.ukmto.org/ukmto-products,archive_capture,UKMTO-ARCHIVE_CAPTURE-E051_UKMTO_ADVISORIES_2026_ARCHIVE_JANUARY-0_FEBRUARY-3_MARCH-1,0,provenance_or_context,True,False,,,,,,Strait of Hormuz and adjacent waters,51,2026-02-26,,archive_or_context,provenance_only,,,,False
02275b539b43eb0e,UKMTO/Archive/E051_UKMTO_Advisories_February-2026_archive-all-records.pdf,E051_UKMTO_Advisories_February-2026_archive-all-records.pdf,pdf,113427,02275b539b43eb0e04a9e5c0b85bd4f6cad200560e8a6eb51ab4c98f3195f9c9,UKMTO,https://www.ukmto.org/ukmto-products,archive_capture,UKMTO-ARCHIVE_CAPTURE-E051_UKMTO_ADVISORIES_FEBRUARY-2026_ARCHIVE-ALL-RECORDS,0,provenance_or_context,True,False,,,,,,Strait of Hormuz and adjacent waters,51,2026-02-26,,archive_or_context,provenance_only,,,,False
f13f71ee2fbf78cb,UKMTO/Archive/E051_UKMTO_Advisories_January-2026_archive-zero-records.pdf,E051_UKMTO_Advisories_January-2026_archive-zero-records.pdf,pdf,113966,f13f71ee2fbf78cb732f7a5374e110b3869d571f77fa20c392a61ed4e33faa48,UKMTO,https://www.ukmto.org/ukmto-products,archive_capture,UKMTO-ARCHIVE_CAPTURE-E051_UKMTO_ADVISORIES_JANUARY-2026_ARCHIVE-ZERO-RECORDS,0,provenance_or_context,True,False,,,,,,Strait of Hormuz and adjacent waters,51,2026-02-26,,archive_or_context,provenance_only,,,,False
9b7ce70dae8e8f59,UKMTO/Archive/E051_UKMTO_Advisories_March-2026_archive-all-records.pdf,E051_UKMTO_Advisories_March-2026_archive-all-records.pdf,pdf,97353,9b7ce70dae8e8f59d9ce436f026727c5d980b720a977d0bd650750da28b2a7dc,UKMTO,https://www.ukmto.org/ukmto-products,archive_capture,UKMTO-ARCHIVE_CAPTURE-E051_UKMTO_ADVISORIES_MARCH-2026_ARCHIVE-ALL-RECORDS,0,provenance_or_context,True,False,,,,,,Strait of Hormuz and adjacent waters,51,2026-02-26,,archive_or_context,provenance_only,,,,False
63ceff4ce5c3b2e2,UKMTO/Archive/E051_UKMTO_Warnings_March-2026_archive-all-36-records.pdf,E051_UKMTO_Warnings_March-2026_archive-all-36-records.pdf,pdf,177648,63ceff4ce5c3b2e2a2bdadc2f8fd9796cd2875f9577e6be034c1567666e146d2,UKMTO,https://www.ukmto.org/ukmto-products,archive_capture,UKMTO-ARCHIVE_CAPTURE-E051_UKMTO_WARNINGS_MARCH-2026_ARCHIVE-ALL-36-RECORDS,0,provenance_or_context,True,False,,,,,,Strait of Hormuz and adjacent waters,51,2026-02-26,,archive_or_context,provenance_only,,,,False
e1827ad3cb4b40b3,UKMTO/Archive/E051_UKMTO_Warnings_PreOnset_February-2026_two-excluded-no-Hormuz-records.pdf,E051_UKMTO_Warnings_PreOnset_February-2026_two-excluded-no-Hormuz-records.pdf,pdf,106287,e1827ad3cb4b40b3641ba7e8e856e6114a5ed0f5b390d9b8a21a28af7635e0ef,UKMTO,https://www.ukmto.org/ukmto-products,archive_capture,UKMTO-ARCHIVE_CAPTURE-E051_UKMTO_WARNINGS_PREONSET_FEBRUARY-2026_TWO-EXCLUDED-NO-HORMUZ-RECORDS,0,provenance_or_context,True,False,,,,,,Strait of Hormuz and adjacent waters,51,2026-02-26,,archive_or_context,provenance_only,,,,False
88633bb18c984f51,UKMTO/Archive/E051_UKMTO_Warnings_PreOnset_January-2026_zero-records.pdf,E051_UKMTO_Warnings_PreOnset_January-2026_zero-records.pdf,pdf,96636,88633bb18c984f51d96aadda7440902701da95ae939db7134d8767e76391b455,UKMTO,https://www.ukmto.org/ukmto-products,archive_capture,UKMTO-ARCHIVE_CAPTURE-E051_UKMTO_WARNINGS_PREONSET_JANUARY-2026_ZERO-RECORDS,0,provenance_or_context,True,False,,,,,,Strait of Hormuz and adjacent waters,51,2026-02-26,,archive_or_context,provenance_only,,,,False
ce313bd01498ad4e,UKMTO/February2026Advisories/20260203-UKMTO_ADVISORY_001-26.pdf,20260203-UKMTO_ADVISORY_001-26.pdf,pdf,223125,ce313bd01498ad4ea349c5bdc3368613ae4db7ca545e929cce10743c5b08bd11,UKMTO,https://www.ukmto.org/ukmto-products,advisory,UKMTO-ADVISORY-001-26,0,new_signal_family,True,True,2026-02-03,,,,2026-02-03,Strait of Hormuz and adjacent waters,51,2026-02-26,-23,pre_onset,contextual_overlap,50,51,23,False
b8865cfc5bdb980d,UKMTO/February2026Advisories/20260228-UKMTO_ADVISORY_003-26-UPDATE_01.pdf,20260228-UKMTO_ADVISORY_003-26-UPDATE_01.pdf,pdf,139321,b8865cfc5bdb980de66e9154773088af9495bb0a385e3cc55963032d0e56f0e5,UKMTO,https://www.ukmto.org/ukmto-products,advisory,UKMTO-ADVISORY-003-26,1,update_same_family,True,True,2026-02-28,,,,2026-02-28,Strait of Hormuz and adjacent waters,51,2026-02-26,2,onset_corroboration,onset_corroboration,51,,,False
c7afb2663b9ab390,UKMTO/February2026Advisories/20260228-UKMTO_ADVISORY_003-26.pdf,20260228-UKMTO_ADVISORY_003-26.pdf,pdf,248106,c7afb2663b9ab390416283276738c4a3813573ae7e58d0f9abf54e187421c006,UKMTO,https://www.ukmto.org/ukmto-products,advisory,UKMTO-ADVISORY-003-26,0,new_signal_family,True,True,2026-02-28,,,,2026-02-28,Strait of Hormuz and adjacent waters,51,2026-02-26,2,onset_corroboration,onset_corroboration,51,,,False
5e5bc54eb4f97bed,UKMTO/JMIC/E051_UKMTO_JMIC_Update-008_published-2026-03-08.pdf,E051_UKMTO_JMIC_Update-008_published-2026-03-08.pdf,pdf,5244473,5e5bc54eb4f97bedca45e804b4d51e59dbe41267918a13c974da2f32b6a015bc,UKMTO-JMIC,https://www.ukmto.org/indian-ocean/jmic-products,jmic_update,JMIC-UPDATE-008,8,update_same_family,True,True,,2026-03-08,,,2026-03-08,Strait of Hormuz and adjacent waters,51,2026-02-26,10,onset_corroboration,onset_corroboration,51,,,False
e21ca8bb5dc584ef,UKMTO/JMIC/E051_UKMTO_JMIC_Update-013_published-2026-03-13.pdf,E051_UKMTO_JMIC_Update-013_published-2026-03-13.pdf,pdf,7865799,e21ca8bb5dc584ef01c7ad00632ec3d4ac50dfe91370190e495b09371d081bf5,UKMTO-JMIC,https://www.ukmto.org/indian-ocean/jmic-products,jmic_update,JMIC-UPDATE-013,13,update_same_family,True,True,,2026-03-13,,,2026-03-13,Strait of Hormuz and adjacent waters,51,2026-02-26,15,during_episode,post_onset_corroboration,51,,,False
3b3b30ff51e50c6f,UKMTO/March2026Advisories/20260301-UKMTO_ADVISORY_003-26-UPDATE_002.pdf,20260301-UKMTO_ADVISORY_003-26-UPDATE_002.pdf,pdf,132811,3b3b30ff51e50c6fa74544fbfa039728b8f57ef46d7725c86a326a7644cbf0a4,UKMTO,https://www.ukmto.org/ukmto-products,advisory,UKMTO-ADVISORY-003-26,2,update_same_family,True,True,2026-03-01,,,,2026-03-01,Strait of Hormuz and adjacent waters,51,2026-02-26,3,onset_corroboration,onset_corroboration,51,,,False
731469409e2faf7b,UKMTO/March2026Warnings/20260301-UKMTO_WARNING_004-26.pdf,20260301-UKMTO_WARNING_004-26.pdf,pdf,238182,731469409e2faf7b4e9e6c0d4f6d279123be0dcacd4b84ea2f1bb17afcdf38b9,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-004-26,0,new_signal_family,True,True,2026-03-01,,,,2026-03-01,Strait of Hormuz and adjacent waters,51,2026-02-26,3,onset_corroboration,onset_corroboration,51,,,False
e4d415ae4d13a777,UKMTO/March2026Warnings/20260301-UKMTO_WARNING_005-26.pdf,20260301-UKMTO_WARNING_005-26.pdf,pdf,251148,e4d415ae4d13a77756f9dc11c51fc1d856b33669a15271c6b02805c82b5fd777,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-005-26,0,new_signal_family,True,True,2026-03-01,,,,2026-03-01,Strait of Hormuz and adjacent waters,51,2026-02-26,3,onset_corroboration,onset_corroboration,51,,,False
902794191370d5e6,UKMTO/March2026Warnings/20260301-UKMTO_WARNING_006-26.pdf,20260301-UKMTO_WARNING_006-26.pdf,pdf,241674,902794191370d5e6959e67ddfbb5661f23e22347ae16d153bf9c6076d6425c19,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-006-26,0,new_signal_family,True,True,2026-03-01,,,,2026-03-01,Strait of Hormuz and adjacent waters,51,2026-02-26,3,onset_corroboration,onset_corroboration,51,,,False
d59984f571d570a9,UKMTO/March2026Warnings/20260301-UKMTO_WARNING_007-26.pdf,20260301-UKMTO_WARNING_007-26.pdf,pdf,282355,d59984f571d570a935ae79a4cb99de7bf3427d77b8e147334e3de3d3e281dddb,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-007-26,0,new_signal_family,True,True,2026-03-01,,,,2026-03-01,Strait of Hormuz and adjacent waters,51,2026-02-26,3,onset_corroboration,onset_corroboration,51,,,False
f3237190139ee139,UKMTO/March2026Warnings/20260302-UKMTO_WARNING_005-26-UPDATE_001.pdf,20260302-UKMTO_WARNING_005-26-UPDATE_001.pdf,pdf,254789,f3237190139ee139d864be0f0105f46e3e49b12c26919ca870ddd4dffd15d7e3,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-005-26,1,update_same_family,True,True,2026-03-02,,,,2026-03-02,Strait of Hormuz and adjacent waters,51,2026-02-26,4,onset_corroboration,onset_corroboration,51,,,False
096fa7df9085dd0d,UKMTO/March2026Warnings/20260302-UKMTO_WARNING_008-26.pdf,20260302-UKMTO_WARNING_008-26.pdf,pdf,216287,096fa7df9085dd0d887638da6ada9b12273c87518084fd263c972f45cb9e4584,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-008-26,0,new_signal_family,True,True,2026-03-02,,,,2026-03-02,Strait of Hormuz and adjacent waters,51,2026-02-26,4,onset_corroboration,onset_corroboration,51,,,False
e9c189711a49d4d5,UKMTO/March2026Warnings/20260303-UKMTO_WARNING_009-26.pdf,20260303-UKMTO_WARNING_009-26.pdf,pdf,261007,e9c189711a49d4d5da8467c2ed7d101e22c93aba54cc97af3c07322a641e9ced,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-009-26,0,new_signal_family,True,True,2026-03-03,,,,2026-03-03,Strait of Hormuz and adjacent waters,51,2026-02-26,5,onset_corroboration,onset_corroboration,51,,,False
33a049b80750fcc4,UKMTO/March2026Warnings/20260304-UKMTO_WARNING_010-26.pdf,20260304-UKMTO_WARNING_010-26.pdf,pdf,228997,33a049b80750fcc49c9f2099f09d74243af5fb49a36f7ce9d59c767f50f0a700,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-010-26,0,new_signal_family,True,True,2026-03-04,,,,2026-03-04,Strait of Hormuz and adjacent waters,51,2026-02-26,6,onset_corroboration,onset_corroboration,51,,,False
92443ff866921eb4,UKMTO/March2026Warnings/20260304-UKMTO_WARNING_011-26.pdf,20260304-UKMTO_WARNING_011-26.pdf,pdf,227011,92443ff866921eb4ffcb157d464b94cf0c3ede00af4f0d0ff5c8ab3a34fd11e3,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-011-26,0,new_signal_family,True,True,2026-03-04,,,,2026-03-04,Strait of Hormuz and adjacent waters,51,2026-02-26,6,onset_corroboration,onset_corroboration,51,,,False
7a12fe69184ea197,UKMTO/March2026Warnings/20260304-UKMTO_WARNING_012-26-UPDATE_001.pdf,20260304-UKMTO_WARNING_012-26-UPDATE_001.pdf,pdf,234170,7a12fe69184ea19762ef3c83683587188f654e5a64bc251e0d2cff346aeee420,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-012-26,1,update_same_family,True,True,2026-03-04,,,,2026-03-04,Strait of Hormuz and adjacent waters,51,2026-02-26,6,onset_corroboration,onset_corroboration,51,,,False
6848bb2c6750cfbd,UKMTO/March2026Warnings/20260304-UKMTO_WARNING_012-26.pdf,20260304-UKMTO_WARNING_012-26.pdf,pdf,229954,6848bb2c6750cfbd10ed4ff055bc63f316e0d832b1f33dc5bbff7f162e948fe2,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-012-26,0,new_signal_family,True,True,2026-03-04,,,,2026-03-04,Strait of Hormuz and adjacent waters,51,2026-02-26,6,onset_corroboration,onset_corroboration,51,,,False
08fcdedc185c359f,UKMTO/March2026Warnings/20260304-UKMTO_WARNING_013-26.pdf,20260304-UKMTO_WARNING_013-26.pdf,pdf,241899,08fcdedc185c359f8e4ca85b3adc1a95912cc98daa793f3d6889c0b07ab56635,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-013-26,0,new_signal_family,True,True,2026-03-04,,,,2026-03-04,Strait of Hormuz and adjacent waters,51,2026-02-26,6,onset_corroboration,onset_corroboration,51,,,False
22af59f6442dfc6a,UKMTO/March2026Warnings/20260304-UKMTO_WARNING_014-26-UPDATE_001.pdf,20260304-UKMTO_WARNING_014-26-UPDATE_001.pdf,pdf,256397,22af59f6442dfc6a276ad0a9c9aefbaeec5e886c51a4e1cd016b51da097bdbf4,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-014-26,1,update_same_family,True,True,2026-03-04,,,,2026-03-04,Strait of Hormuz and adjacent waters,51,2026-02-26,6,onset_corroboration,onset_corroboration,51,,,False
a1dc892a829a35e0,UKMTO/March2026Warnings/20260304-UKMTO_WARNING_014-26.pdf,20260304-UKMTO_WARNING_014-26.pdf,pdf,249318,a1dc892a829a35e0502d2f65b47d6c54bf033d0c51f0f1b09bcdfeea356f603a,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-014-26,0,new_signal_family,True,True,2026-03-04,,,,2026-03-04,Strait of Hormuz and adjacent waters,51,2026-02-26,6,onset_corroboration,onset_corroboration,51,,,False
24c275df01938ab3,UKMTO/March2026Warnings/20260306-UKMTO_WARNING_015-26.pdf,20260306-UKMTO_WARNING_015-26.pdf,pdf,213663,24c275df01938ab3b282218352889b21cfdb01b1d0551cb928d02d62f6bcedfd,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-015-26,0,new_signal_family,True,True,2026-03-06,,,,2026-03-06,Strait of Hormuz and adjacent waters,51,2026-02-26,8,onset_corroboration,onset_corroboration,51,,,False
7d26187564b8762a,UKMTO/March2026Warnings/20260307-UKMTO_WARNING_016-26-UK-OS-UPDATE_001.pdf,20260307-UKMTO_WARNING_016-26-UK-OS-UPDATE_001.pdf,pdf,236962,7d26187564b8762ab428c64522820e18dcfcc53abe4e09591030b785abb63227,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-016-26,1,update_same_family,True,True,2026-03-07,,,,2026-03-07,Strait of Hormuz and adjacent waters,51,2026-02-26,9,onset_corroboration,onset_corroboration,51,,,False
b0f0cb6c403f214c,UKMTO/March2026Warnings/20260307-UKMTO_WARNING_016-26-UK-OS.pdf,20260307-UKMTO_WARNING_016-26-UK-OS.pdf,pdf,231771,b0f0cb6c403f214c1060d88e852386b5e010c9a58c66ea86102f64c2d6e46154,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-016-26,0,new_signal_family,True,True,2026-03-07,,,,2026-03-07,Strait of Hormuz and adjacent waters,51,2026-02-26,9,onset_corroboration,onset_corroboration,51,,,False
5fabeebe6a541762,UKMTO/March2026Warnings/20260310-UKMTO_WARNING_017-26.pdf,20260310-UKMTO_WARNING_017-26.pdf,pdf,221416,5fabeebe6a541762800e5df35f85fe4924639adc17fc6f6611fd300650b308bd,UKMTO,https://www.ukmto.org/ukmto-products,warning,UKMTO-WARNING-017-26,0,new_signal_family,True,True,2026-03-10,,,,2026-03-10,Strait of Hormuz and adjacent waters,51,2026-02-26,12,onset_corroboration,onset_corroboration,51,,,False
