episode_cluster_id,flow_episode_id,phase4_split,dependency_group,source_class,signal_family_id,evidence_date,days_from_onset,active_flow_episode_id,clean_pre_onset_signal,is_update
E038,38,test,E038,IUA_JWC_LMA,JWC-JWLA-032,2023-12-18,-436.0,,False,False
E038,38,test,E038,IUA_JWC_LMA,JWC-JWLA-033,2026-03-03,370.0,51.0,False,False
E038,38,test,E038,IUA_JWC_LMA,,2025-06-04,98.0,,False,False
E038,38,test,E038,IUA_JWC_LMA,,,,,False,False
E038,38,test,E038,IUA_JWC_LMA,,,,,False,False
E042,42,test,E042,MARAD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,IUA_JWC_LMA,JWC-JWLA-032,2023-12-18,-606.0,,False,False
E042,42,test,E042,IUA_JWC_LMA,JWC-JWLA-033,2026-03-03,200.0,51.0,False,False
E042,42,test,E042,IUA_JWC_LMA,,2025-06-04,-72.0,,False,False
E042,42,test,E042,IUA_JWC_LMA,,,,,False,False
E042,42,test,E042,IUA_JWC_LMA,,,,,False,False
E042,42,test,E042,MARAD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,GARD,,,,,False,False
E042,42,test,E042,IUA_JWC_LMA,JWC-JWLA-032,2023-12-18,-606.0,,False,False
E042,42,test,E042,IUA_JWC_LMA,JWC-JWLA-033,2026-03-03,200.0,51.0,False,False
E042,42,test,E042,IUA_JWC_LMA,,2025-06-04,-72.0,,False,False
E042,42,test,E042,IUA_JWC_LMA,,,,,False,False
E042,42,test,E042,IUA_JWC_LMA,,,,,False,False
E045,45,test,E045,MARAD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,IUA_JWC_LMA,JWC-JWLA-032,2023-12-18,-660.0,,False,False
E045,45,test,E045,IUA_JWC_LMA,JWC-JWLA-033,2026-03-03,146.0,51.0,False,False
E045,45,test,E045,IUA_JWC_LMA,,2025-06-04,-126.0,,False,False
E045,45,test,E045,IUA_JWC_LMA,,,,,False,False
E045,45,test,E045,IUA_JWC_LMA,,,,,False,False
E045,45,test,E045,MARAD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
E045,45,test,E045,GARD,,,,,False,False
